nifti_value,original_label,source_atlas,hemi,main_label,secondary_label,extra
45,Yeo17_RH_DefaultB_PFCv_2,Yeo17,RH,DefaultB,PFCv,2
46,Yeo17_RH_DefaultC_Rsp_1,Yeo17,RH,DefaultC,Rsp,1
47,Yeo17_RH_DefaultC_PHC_1,Yeo17,RH,DefaultC,PHC,1
48,Yeo17_RH_TempPar_1,Yeo17,RH,TempPar,1,
49,Yeo17_RH_TempPar_2,Yeo17,RH,TempPar,2,
50,Yeo17_RH_TempPar_3,Yeo17,RH,TempPar,3,
51,OxTh_RH_Thalamus_PrimaryMotor,OxTh,RH,Thalamus,PrimaryMotor,
52,OxTh_RH_Thalamus_Sensory,OxTh,RH,Thalamus,Sensory,
53,OxTh_RH_Thalamus_Occipital,OxTh,RH,Thalamus,Occipital,
54,OxTh_RH_Thalamus_Prefrontal,OxTh,RH,Thalamus,Prefrontal,
55,OxTh_RH_Thalamus_Premotor,OxTh,RH,Thalamus,Premotor,
56,OxTh_RH_Thalamus_PosteriorParietal,OxTh,RH,Thalamus,PosteriorParietal,
57,OxTh_RH_Thalamus_Temporal,OxTh,RH,Thalamus,Temporal,
58,OxStr7_RH_Striatum_Limbic,OxStr7,RH,Striatum,Limbic,
59,OxStr7_RH_Striatum_Executive,OxStr7,RH,Striatum,Executive,
60,OxStr7_RH_Striatum_MotorRostral,OxStr7,RH,Striatum,MotorRostral,
61,OxStr7_RH_Striatum_MotorCaudal,OxStr7,RH,Striatum,MotorCaudal,
62,OxStr7_RH_Striatum_Parietal,OxStr7,RH,Striatum,Parietal,
63,OxStr7_RH_Striatum_Occipital,OxStr7,RH,Striatum,Occipital,
64,OxStr7_RH_Striatum_Temporal,OxStr7,RH,Striatum,Temporal,
65,HOSub_RH_Hippocampus,HOSub,RH,Hippocampus,,
66,HOSub_RH_Amygdala,HOSub,RH,Amygdala,,
